0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:36:54 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:36:54 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:36:54 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:36:55 +0900] "GET /Hospital_Reservation/view/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:36:55 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:36:55 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:36:55 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:36:56 +0900] "GET /Hospital_Reservation/view/loginForm.jsp HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:36:56 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:36:56 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:37:07 +0900] "POST /Hospital_Reservation/view/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:37:07 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:37:07 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:37:07 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:37:13 +0900] "GET /Hospital_Reservation/view/rsv_Login.jsp?ydate=2016-06-01%2000:35&doctor=Doctor1&subject=Internal%20Medicine HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:37:13 +0900] "GET /Hospital_Reservation/view/rsv_diagnosis.jsp?ydate=2016-06-01%2000:35&doctor=Doctor1&subject=Internal%20Medicine HTTP/1.1" 200 4839
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:37:13 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:37:13 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:37:18 +0900] "POST /Hospital_Reservation/view/rsvPro.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:37:25 +0900] "GET /Hospital_Reservation/view/rsv_Confirm.jsp HTTP/1.1" 200 2966
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:37:25 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
